"","Plasmablast","NaiveB","MemoryB","NaiveCD4T","EMCD4T","CMCD4T","TRegs","NaiveCD8T","MemoryCD8T","NKT","NKcells","mDC","pDC","CMonocytes","NMonocyte"
"CLEC2D",0.428098077663143,1.03639842223539,0.307637279134728,0.917763531919271,0.973598997474942,0.857487596154266,0.955468546407069,0.709112835422596,0.96518917089186,0.786987366431863,0.97607563996302,0.609678693645656,0.616304357319599,0.432675986429723,0.394326726933276
"BTK",0.492611017867631,0.82126789786045,0.495752754825501,0.159232741677824,0.211012382442472,0.152098476205111,0.271539505787547,0.1,0.183719775129702,0.206724382384755,0.207885510697296,0.615070776436119,0.579479363768221,0.632822957142313,0.616213485642688
"CEBPB",0.417135182439126,0.625463445032278,0.735838523109834,0.716884567227408,0.729402912569635,0.664790041863306,0.574916585456732,0.763036411471821,0.767306696069578,0.673726305423473,0.841264837183515,0.781557597879266,0.254348669616344,0.893362721877957,0.657485218429654
"CD2",0.306487144173009,0.448723273323611,0.516019542485065,0.855254372599484,0.9917776577399,0.851866222597491,0.712875995044922,0.68192340068779,1.00875106441555,0.724999816623002,1.07757797597042,0.522935637455756,0.367556056400692,0.286102343296506,0.262380846912089
"MGAT4A",0.3611782356154,0.452658570480816,0.332733892553984,0.833531003760053,0.851581068193939,0.739746994718708,0.367203478589028,0.64093607847684,0.817280133637564,0.709011242722276,0.813225502592905,0.435657402833403,0.679039134286624,0.47259903868021,0.326660058608972
"BLNK",0.417475729165944,0.772910057014908,0.370414683561582,0.124876321317017,0.1,0.151028196869086,0.1,0.1,0.156262132919021,0.1,0.1,0.513806354381625,0.675302403800169,0.18527730090791,0.157580980568255
"CD63",0.488777450620666,0.698341252724745,0.6651145203304,0.54602856982159,0.785653530982836,0.708300162083731,0.634367030784254,0.621631779312364,0.966126015788917,0.862821338977137,0.953598736684525,0.769540045164832,0.696422420741246,0.790171334137659,0.826016862510867
"S100A8",0.791727921443788,0.41688466525045,1.23291149304516,0.373919532015587,0.384406342754016,0.412341113582269,0.508881536698995,0.3402202238377,0.378629109984606,0.596620440100194,0.44786704766849,1.02744066303477,0.806908779418988,1.13850465074521,1.25840230701347
"LST1",0.395474115489886,0.575999549105353,0.543672677768778,0.497466079258392,0.600232889725513,0.545276994721382,0.428106851313794,0.498116577450866,0.716523492660881,0.518364869962097,0.48853770929526,0.994379536085968,0.7002342261228,0.649453154108525,0.576646732051319
"CASP1",0.348828250185693,0.606342882697143,0.616201228535332,0.470751747460943,0.702645114147798,0.653144768610114,0.695784146458527,0.407738513085087,0.787089402377069,0.695749786570543,0.873565898438687,0.865945550885264,0.289896707198916,0.797687533223629,0.623822864211957
